user,Company,projects,Comment
momentarylapse,,1,
micromata,,1,
minj,,1,
mitmedialab,,1,
mesonbuild,,1,
mirage,,1,
micrometer-metrics,,1,
micropython,,1,
molgenis,,1,
mikisvaz,,1,
mojyt,,1,
moira-alert,,1,
mikf,,1,
mohan2020,,1,
meta-debian,,1,
mogemimi,,1,
mmz-srf,,1,
mhancoc7,,1,
moezbhatti,,1,
microsoft,,1,
microting,,1,
meta-magic,,1,
midwan,,1,
miranda-ng,,1,
mgieseki,,1,
mikey1384,,1,
00-Evan,,1,
moosend,,1,
oasis-open,,1,
o2oa,,1,
o-yamabiko,,1,
nzilbb,,1,
nycJSorg,,1,
nyaki-HUN,,1,
nxhack,,1,
nusmodifications,,1,
nurandi,,1,
nuprl,,1,
nuobit,,1,
nunit,,1,
numpy,,1,
numixproject,,1,
numbas,,1,
numba,,1,
nukeop,,1,
nuke-build,,1,
oaplatform,,1,
obduk,,1,
niklasf,,1,
obfuscated,,1,
ohtomi,,1,
ohmybrew,,1,
ohmae,,1,
oflimm,,1,
oevsv-lv6,,1,
oestrich,,1,
oemof,,1,
odf,,1,
odavid,,1,
octobox,,1,
ocsigen,,1,
ocornut,,1,
ocelot-collab,,1,
ocaml-ppx,,1,
ocaml,,1,
objective-solutions,,1,
objective-audio,,1,
nuclio,,1,
ntbrock,,1,
nstockton,,1,
nsk4762jp,,1,
nodatime,,1,
noborus,,1,
noahbenson,,1,
nnsnodnb,,1,
nluedtke,,1,
nlsynth,,1,
nlohmann,,1,
nlmixrdevelopment,,1,
nkmk,,1,
nix-rust,,1,
nistats,,1,
nismod,,1,
nion-software,,1,
ninggf,,1,
nimona,,1,
nimishjha,,1,
nimble-dev,,1,
node-opcua,,1,
nodegit,,1,
nodejs,,1,
nowsecure,,1,
nrz,,1,
nroutasuo,,1,
nrenner,,1,
nrc,,1,
npds,,1,
npct,,1,
nozzle,,1,
nossas,,1,
nodenv,,1,
nosilver4u,,1,
nortikin,,1,
northbright,,1,
norcams,,1,
nopara73,,1,
noms-digital-studio,,1,
noisymime,,1,
oicr-webdev,,1,
oitsjustjose,,1,
ojrosten,,1,
openastroproject,,1,
opengisch,,1,
openfootball,,1,
openfoodfoundation,,1,
openfaas,,1,
openembedded,,1,
openeemeter,,1,
opendevshop,,1,
opendatateam,,1,
opendatasoft,,1,
opencor,,1,
opencontainers,,1,
opencomponents,,1,
openclimatedata,,1,
opencdms,,1,
opencart,,1,
opencadc,,1,
openbabel,,1,
openhab,,1,
openjournals,,1,
openlattice,,1,
openpnp,,1,
opensourceBIM,,1,
opensource-cards,,1,
opensim-org,,1,
opensheetmusicdisplay,,1,
openset,,1,
opensalt,,1,
openpolitics,,1,
openpitrix,,1,
openlayers,,1,
openpetra,,1,
openpathsampling,,1,
openocl,,1,
opennetworkinglab,,1,
openmv,,1,
openmole,,1,
openmensa,,1,
openaustralia,,1,
openaq,,1,
okamstudio,,1,
openaid-IATI,,1,
omnia-md,,1,
omise,,1,
omeka,,1,
omega8cc,,1,
omega-gg,,1,
omarmhaimdat,,1,
olton,,1,
olson-sean-k,,1,
olivierfriard,,1,
oliviercailloux,,1,
olifolkerd,,1,
oliexdev,,1,
oleg-shilo,,1,
okv,,1,
oktal,,1,
okorach,,1,
okbob,,1,
onebeartoe,,1,
oneeyeman1,,1,
onemoonsci,,1,
opacapp,,1,
openaddresses,,1,
openHPI,,1,
open-synergy,,1,
open-policy-agent,,1,
open-mmlab,,1,
open-craft,,1,
opal,,1,
oors,,1,
onevcat,,1,
oomlout,,1,
ontop,,1,
ontodev,,1,
onqtam,,1,
onox,,1,
onlykey,,1,
onfido,,1,
nilzen,,1,
nikitavoloboev,,1,
moov-io,,1,
mworks,,1,
mviereck,,1,
muyun,,1,
musalbas,,1,
murisi,,1,
mupen64plus-ae,,1,
munkireport,,1,
munishgaurav5,,1,
munhyunsu,,1,
multitheftauto,,1,
muk-it,,1,
muffinista,,1,
mucsi96,,1,
muccg,,1,
mu-editor,,1,
mtlstats,,1,
mthom,,1,
mthmulders,,1,
mweagle,,1,
mwpowellhtx,,1,
nikita36078,,1,
mxcube,,1,
nailsapp,,1,
nai888,,1,
nafergo,,1,
nacs-lab,,1,
nabeelio,,1,
nZEDb,,1,
n6g7,,1,
